,depth,qt,fs
0,0.100584,2097.1553433459,19.1521035922
1,0.149352,2585.533984947,38.3042071844
2,0.201168,4931.6666749915,47.8802589805
3,0.249936,5247.6763842628,28.728155388300003
4,0.298704,3658.0517861102,19.1521035922
5,0.35052,3093.0647301403,19.1521035922
6,0.399288,3495.2589055765,28.728155388300003
7,0.451104,4596.504862128,38.3042071844
8,0.499872,5266.828487855,38.3042071844
9,0.54864,4902.9385196032,38.3042071844
10,0.600456,4242.190945672301,57.456310776600006
11,0.649224,3562.2912681492003,57.456310776600006
12,0.70104,3677.2038897024,57.456310776600006
13,0.749808,2949.4239531988,38.3042071844
14,0.7985760000000001,2901.5436942183005,38.3042071844
15,0.850392,3227.1294552857003,38.3042071844
16,0.8991600000000001,3006.8802639754,47.8802589805
17,0.950976,3696.355993294601,57.456310776600006
18,0.999744,4874.2103642149,57.456310776600006
19,1.05156,4404.983826206,47.8802589805
20,1.100328,4194.3106866918,47.8802589805
21,1.149096,3954.9093917893,38.3042071844
22,1.200912,3581.4433717414,28.728155388300003
23,1.24968,3342.0420768389,28.728155388300003
24,1.301496,3236.7055070818,28.728155388300003
25,1.350264,3313.3139214506,19.1521035922
26,1.399032,3265.4336624701004,28.728155388300003
27,1.450848,3131.3689373247003,28.728155388300003
28,1.499616,2844.0873834417,28.728155388300003
29,1.551432,2662.1423993158,28.728155388300003
30,1.6002,2556.8058295587,28.728155388300003
31,1.6489680000000002,2633.4142439275,28.728155388300003
32,1.700784,2939.8479014027,28.728155388300003
33,1.7495520000000002,3495.2589055765,28.728155388300003
34,1.801368,4088.9741169347,28.728155388300003
35,1.850136,4318.7993600411,38.3042071844
36,1.898904,4366.679619021601,38.3042071844
37,1.95072,4548.6246031475,47.8802589805
38,1.999488,4749.7216908656,47.8802589805
39,2.051304,5008.2750893603,57.456310776600006
40,2.100072,5391.3171612043,57.456310776600006
41,2.14884,5841.391595621,57.456310776600006
42,2.200656,6607.475739309,47.8802589805
43,2.249424,7201.190950667201,38.3042071844
44,2.30124,7057.550173725701,38.3042071844
45,2.3500080000000003,6339.3462890182,38.3042071844
46,2.398776,5649.870559699,38.3042071844
47,2.450592,4855.058260622701,38.3042071844
48,2.49936,3523.9870609648,47.8802589805
49,2.551176,2537.6537259665,47.8802589805
50,2.599944,2231.2200684913,38.3042071844
51,2.648712,2786.6310726651004,28.728155388300003
52,2.700528,2250.3721720835,28.728155388300003
53,2.749296,1455.5598730072,28.728155388300003
54,2.801112,938.4530760178002,19.1521035922
55,2.84988,651.1715221348001,19.1521035922
56,2.898648,584.1391595621001,19.1521035922
57,2.950464,593.7152113582,19.1521035922
58,2.999232,526.6828487855,9.5760517961
59,3.051048,469.2265380089001,9.5760517961
60,3.099816,430.9223308245,9.5760517961
61,3.151632,430.9223308245,9.5760517961
62,3.2004,440.4983826206,9.5760517961
63,3.249168,450.07443441670006,9.5760517961
64,3.300984,440.4983826206,9.5760517961
65,3.349752,430.9223308245,19.1521035922
66,3.401568,564.9870559699001,19.1521035922
67,3.450336,1043.7896457749,19.1521035922
68,3.4991040000000004,1235.3106816969002,28.728155388300003
69,3.55092,1043.7896457749,28.728155388300003
70,3.5996880000000004,1378.9514586384005,19.1521035922
71,3.651504000000001,2690.8705547041004,9.5760517961
72,3.700272,3227.1294552857003,9.5760517961
73,3.74904,3552.7152163531005,9.5760517961
74,3.800856000000001,3399.4983876155,9.5760517961
75,3.849624,2748.3268654807,19.1521035922
76,3.901440000000001,2384.4368972289,9.5760517961
77,3.950208,2575.9579331509,19.1521035922
78,3.998976,2078.0032397537,28.728155388300003
79,4.050792,1417.2556658228002,28.728155388300003
80,4.09956,1005.4854385905,28.728155388300003
81,4.151376,746.9320400958001,19.1521035922
82,4.200144,1513.0161837838,19.1521035922
83,4.248912,4088.9741169347,28.728155388300003
84,4.300728,5630.718456106801,28.728155388300003
85,4.349496,6023.3365797469,28.728155388300003
86,4.401312,6597.8996875129005,28.728155388300003
87,4.45008,7747.025903044901,38.3042071844
88,4.498848,8206.676389257702,38.3042071844
89,4.550664,7593.8090743073,38.3042071844
90,4.599432,7344.831727608701,38.3042071844
91,4.651248,6760.692568046599,38.3042071844
92,4.700016000000001,5640.2945079029005,47.8802589805
93,4.748784000000001,4098.550168730801,57.456310776600006
94,4.8006,2154.6116541225,57.456310776600006
95,4.849368,1503.4401319877,38.3042071844
96,4.901184,1378.9514586384005,28.728155388300003
97,4.949952,1225.7346299008,19.1521035922
98,4.99872,756.5080918919,19.1521035922
99,5.050536,699.0517811153,19.1521035922
100,5.099304,1331.0711996579,19.1521035922
101,5.15112,1359.7993550462,19.1521035922
102,5.199888,1062.9417493671,9.5760517961
103,5.251704,670.323625727,9.5760517961
104,5.300472,478.802589805,9.5760517961
105,5.349240000000001,450.07443441670006,9.5760517961
106,5.401056,497.95469339720006,9.5760517961
107,5.449824,469.2265380089001,9.5760517961
108,5.50164,402.19417543620006,9.5760517961
109,5.550408000000001,507.5307451933,9.5760517961
110,5.800344000000001,258.55339849470005,9.5760517961
111,5.849112000000001,354.31391645570005,9.5760517961
112,5.900928,526.6828487855,19.1521035922
113,5.949696,909.7249206295,57.456310776600006
114,6.001512000000001,1407.6796140267002,124.48867334930002
115,6.050280000000001,2336.5566382484003,143.6407769415
116,6.099048000000001,5209.3721770784005,258.55339849470005
117,6.150864,7565.080918919,344.73786465960006
118,6.199632,13511.8090842971,316.0097092713
119,6.251448000000001,29139.925615532306,373.4660200479
120,6.300216000000001,27770.55020869,392.6181236401
121,6.348984,29494.239531988,287.281553883
